=== 310: 0 | @ 25m7s.35
=== 311: 0 | @ 25m25s.491
=== 312: 0 | @ 25m43s.89
=== 313: 0 | @ 26m0s.650
=== 314: 0 | @ 26m18s.246
=== 315: 0 | @ 26m35s.636
=== 316: 0 | @ 26m53s.686
=== 317: 0 | @ 27m10s.840
=== 318: 0 | @ 27m30s.932
=== 319: 0 | @ 27m47s.600
=== 320: 0 | @ 28m4s.354
=== 321: 0 | @ 28m20s.831
=== 322: 0 | @ 28m37s.343
=== 323: 0 | @ 28m53s.563
=== 324: 0 | @ 29m9s.931
=== 325: 0 | @ 29m27s.76
=== 326: 0 | @ 29m45s.634
=== 327: 0 | @ 30m1s.253
=== 328: 0 | @ 30m16s.946
=== 329: 0 | @ 30m32s.648
=== 330: 0 | @ 30m48s.623
=== 331: 0 | @ 31m3s.834
=== 332: 0 | @ 31m19s.104
=== 333: 0 | @ 31m34s.354
=== 334: 0 | @ 31m49s.408
=== 335: 0 | @ 32m4s.292
=== 336: 0 | @ 32m19s.248
=== 337: 0 | @ 32m33s.957
=== 338: 0 | @ 32m48s.665
=== 339: 0 | @ 33m3s.402
=== 340: 0 | @ 33m17s.893
=== 341: 0 | @ 33m32s.216
=== 342: 0 | @ 33m46s.354
=== 343: 0 | @ 34m0s.289
=== 344: 0 | @ 34m14s.183
=== 345: 0 | @ 34m27s.903
=== 346: 0 | @ 34m41s.602
=== 347: 0 | @ 34m55s.123
=== 348: 0 | @ 35m8s.524
=== 349: 0 | @ 35m21s.841
=== 350: 0 | @ 35m35s.41
=== 351: 0 | @ 35m48s.2
=== 352: 0 | @ 36m1s.44
=== 353: 0 | @ 36m13s.874
=== 354: 0 | @ 36m26s.773
=== 355: 0 | @ 36m39s.455
=== 356: 0 | @ 36m51s.807
=== 357: 0 | @ 37m4s.281
=== 358: 0 | @ 37m16s.976
=== 359: 0 | @ 37m29s.165
=== 360: 0 | @ 37m41s.560
=== 361: 0 | @ 37m53s.818
=== 362: 0 | @ 38m5s.971
=== 363: 0 | @ 38m18s.6
=== 364: 0 | @ 38m29s.752
=== 365: 0 | @ 38m41s.562
=== 366: 0 | @ 38m52s.965
=== 367: 0 | @ 39m4s.469
=== 368: 0 | @ 39m15s.790
=== 369: 0 | @ 39m27s.24
=== 370: 0 | @ 39m37s.427
=== 371: 0 | @ 39m48s.322
=== 372: 0 | @ 39m59s.242
=== 373: 0 | @ 40m10s.231
=== 374: 0 | @ 40m20s.336
=== 375: 0 | @ 40m31s.95
=== 376: 0 | @ 40m41s.830
=== 377: 0 | @ 40m52s.645
=== 378: 0 | @ 41m2s.998
=== 379: 0 | @ 41m14s.884
=== 380: 0 | @ 41m25s.353
=== 381: 0 | @ 41m35s.638
=== 382: 0 | @ 41m46s.500
=== 383: 0 | @ 41m56s.457
=== 384: 0 | @ 42m6s.319
=== 385: 0 | @ 42m17s.733
=== 386: 0 | @ 42m27s.313
=== 387: 0 | @ 42m38s.626
=== 388: 0 | @ 42m49s.251
=== 389: 0 | @ 42m58s.692
=== 390: 0 | @ 43m8s.21
=== 391: 0 | @ 43m17s.247
